t	rad	xerr	yerr
21.268	0.136	0.005	0.009
21.335	0.198	0.005	0.009
21.402	0.214	0.005	0.009
21.468	0.206	0.005	0.009
21.535	0.178	0.005	0.009
21.602	0.134	0.005	0.009
21.668	0.072	0.005	0.009
21.735	0.005	0.005	0.009
21.802	-0.062	0.005	0.009
21.868	-0.122	0.005	0.009
21.935	-0.168	0.005	0.009
22.002	-0.195	0.005	0.009
22.068	-0.199	0.005	0.009
22.135	-0.178	0.005	0.009
22.202	-0.140	0.005	0.009
22.268	-0.083	0.005	0.009
22.335	-0.018	0.005	0.009
22.402	0.050	0.005	0.009
22.468	0.114	0.005	0.009
22.535	0.165	0.005	0.009
22.602	0.198	0.005	0.009
22.668	0.209	0.005	0.009
22.735	0.202	0.005	0.009
22.802	0.171	0.005	0.009
22.868	0.125	0.005	0.009
22.935	0.063	0.005	0.009
23.002	-0.001	0.005	0.009
23.068	-0.067	0.005	0.009
23.135	-0.126	0.005	0.009
23.202	-0.170	0.005	0.009
23.268	-0.192	0.005	0.009
23.335	-0.193	0.005	0.009
23.402	-0.173	0.005	0.009
23.468	-0.132	0.005	0.009
23.535	-0.075	0.005	0.009
23.602	-0.010	0.005	0.009
23.668	0.056	0.005	0.009
23.735	0.118	0.005	0.009
23.802	0.167	0.005	0.009
23.868	0.199	0.005	0.009
23.935	0.208	0.005	0.009
24.002	0.189	0.005	0.009
24.068	0.158	0.005	0.009
24.135	0.111	0.005	0.009
24.202	0.047	0.005	0.009
24.268	-0.016	0.005	0.009
24.335	-0.084	0.005	0.009
24.402	-0.137	0.005	0.009
24.468	-0.177	0.005	0.009
24.535	-0.200	0.005	0.009
24.602	-0.193	0.005	0.009
24.668	-0.173	0.005	0.009
24.735	-0.128	0.005	0.009
24.802	-0.072	0.005	0.009
24.868	-0.008	0.005	0.009
24.935	0.059	0.005	0.009
25.002	0.115	0.005	0.009
25.068	0.164	0.005	0.009
25.135	0.191	0.005	0.009
25.202	0.197	0.005	0.009
25.268	0.181	0.005	0.009
25.335	0.148	0.005	0.009
25.402	0.097	0.005	0.009
25.468	0.038	0.005	0.009
25.535	-0.026	0.005	0.009
25.602	-0.091	0.005	0.009
25.668	-0.143	0.005	0.009
25.735	-0.179	0.005	0.009
25.802	-0.195	0.005	0.009
25.868	-0.189	0.005	0.009
25.935	-0.163	0.005	0.009
26.002	-0.117	0.005	0.009
26.068	-0.059	0.005	0.009
26.135	0.006	0.005	0.009
26.202	0.067	0.005	0.009
26.268	0.122	0.005	0.009
26.335	0.166	0.005	0.009
26.402	0.191	0.005	0.009
26.468	0.193	0.005	0.009
26.535	0.175	0.005	0.009
26.602	0.141	0.005	0.009
26.668	0.087	0.005	0.009
26.735	0.028	0.005	0.009
26.802	-0.041	0.005	0.009
26.868	-0.102	0.005	0.009
