t	θ	uncertainty T	uncertainty A
83.23	-0.012	0.02	0.009
83.27	-0.014	0.02	0.009
83.30	-0.014	0.02	0.009
83.33	-0.015	0.02	0.009
83.37	-0.013	0.02	0.009
83.40	-0.011	0.02	0.009
83.43	-0.009	0.02	0.009
83.47	-0.005	0.02	0.009
83.50	-0.001	0.02	0.009
83.53	0.003	0.02	0.009
83.57	0.006	0.02	0.009
83.60	0.010	0.02	0.009
83.63	0.013	0.02	0.009
83.67	0.015	0.02	0.009
83.70	0.015	0.02	0.009
83.73	0.015	0.02	0.009
83.77	0.014	0.02	0.009
83.80	0.013	0.02	0.009
83.83	0.010	0.02	0.009
83.87	0.006	0.02	0.009
83.90	0.002	0.02	0.009
83.93	-0.001	0.02	0.009
83.97	-0.005	0.02	0.009
84.00	-0.009	0.02	0.009
84.03	-0.011	0.02	0.009
84.07	-0.013	0.02	0.009
84.10	-0.014	0.02	0.009
84.13	-0.015	0.02	0.009
84.17	-0.014	0.02	0.009
84.20	-0.013	0.02	0.009
84.23	-0.010	0.02	0.009
84.27	-0.007	0.02	0.009
84.30	-0.003	0.02	0.009
84.33	0.000	0.02	0.009
84.37	0.004	0.02	0.009
84.40	0.008	0.02	0.009
84.43	0.010	0.02	0.009
84.46	0.012	0.02	0.009
84.50	0.014	0.02	0.009
84.53	0.015	0.02	0.009
84.56	0.015	0.02	0.009
84.60	0.013	0.02	0.009
84.63	0.011	0.02	0.009
84.66	0.008	0.02	0.009
84.70	0.005	0.02	0.009
84.73	0.001	0.02	0.009
84.76	-0.003	0.02	0.009
84.80	-0.007	0.02	0.009
84.83	-0.009	0.02	0.009
84.86	-0.011	0.02	0.009
84.90	-0.013	0.02	0.009
84.93	-0.013	0.02	0.009
84.96	-0.013	0.02	0.009
85.00	-0.012	0.02	0.009
85.03	-0.011	0.02	0.009
85.06	-0.008	0.02	0.009
85.10	-0.005	0.02	0.009
85.13	-0.001	0.02	0.009
85.16	0.003	0.02	0.009
85.20	0.006	0.02	0.009
85.23	0.010	0.02	0.009
85.26	0.012	0.02	0.009
85.30	0.013	0.02	0.009
85.33	0.015	0.02	0.009
85.36	0.015	0.02	0.009
85.40	0.015	0.02	0.009
85.43	0.013	0.02	0.009
85.46	0.010	0.02	0.009
85.50	0.007	0.02	0.009
85.53	0.004	0.02	0.009
85.56	0.000	0.02	0.009
85.60	-0.004	0.02	0.009
85.63	-0.007	0.02	0.009
85.66	-0.010	0.02	0.009
85.69	-0.012	0.02	0.009
85.73	-0.013	0.02	0.009
85.76	-0.014	0.02	0.009
85.79	-0.013	0.02	0.009
85.83	-0.011	0.02	0.009
85.86	-0.009	0.02	0.009
85.89	-0.006	0.02	0.009
85.93	-0.003	0.02	0.009
85.96	0.001	0.02	0.009
85.99	0.004	0.02	0.009
86.03	0.008	0.02	0.009
86.06	0.011	0.02	0.009
86.09	0.013	0.02	0.009
86.13	0.015	0.02	0.009
86.16	0.015	0.02	0.009
86.19	0.015	0.02	0.009
86.23	0.014	0.02	0.009
86.26	0.012	0.02	0.009
86.29	0.008	0.02	0.009
86.33	0.005	0.02	0.009
86.36	0.001	0.02	0.009
86.39	-0.003	0.02	0.009
86.43	-0.007	0.02	0.009
86.46	-0.009	0.02	0.009
86.49	-0.012	0.02	0.009
86.53	-0.013	0.02	0.009
86.56	-0.014	0.02	0.009
86.59	-0.014	0.02	0.009
86.63	-0.014	0.02	0.009
86.66	-0.012	0.02	0.009
86.69	-0.009	0.02	0.009
86.73	-0.005	0.02	0.009
86.76	-0.001	0.02	0.009
86.79	0.002	0.02	0.009
86.82	0.006	0.02	0.009
86.86	0.009	0.02	0.009
86.89	0.012	0.02	0.009
86.92	0.013	0.02	0.009
86.96	0.015	0.02	0.009
86.99	0.015	0.02	0.009
87.02	0.015	0.02	0.009
87.06	0.013	0.02	0.009
87.09	0.011	0.02	0.009
87.12	0.007	0.02	0.009
87.16	0.004	0.02	0.009
87.19	0.000	0.02	0.009
87.22	-0.004	0.02	0.009
87.26	-0.008	0.02	0.009
87.29	-0.011	0.02	0.009
87.32	-0.012	0.02	0.009
87.36	-0.013	0.02	0.009
87.39	-0.014	0.02	0.009
87.42	-0.013	0.02	0.009
87.46	-0.012	0.02	0.009
87.49	-0.010	0.02	0.009
87.52	-0.007	0.02	0.009
87.56	-0.003	0.02	0.009
87.59	0.000	0.02	0.009
87.62	0.004	0.02	0.009
87.66	0.007	0.02	0.009
87.69	0.010	0.02	0.009
87.72	0.013	0.02	0.009
87.76	0.015	0.02	0.009
87.79	0.015	0.02	0.009
87.82	0.015	0.02	0.009
87.86	0.014	0.02	0.009
87.89	0.011	0.02	0.009
87.92	0.009	0.02	0.009
87.96	0.006	0.02	0.009
87.99	0.002	0.02	0.009
88.02	-0.002	0.02	0.009
88.05	-0.005	0.02	0.009
88.09	-0.009	0.02	0.009
88.12	-0.011	0.02	0.009
88.15	-0.013	0.02	0.009
88.19	-0.013	0.02	0.009
88.22	-0.013	0.02	0.009
88.25	-0.013	0.02	0.009
88.29	-0.011	0.02	0.009
88.32	-0.008	0.02	0.009
88.35	-0.005	0.02	0.009
88.39	-0.002	0.02	0.009
88.42	0.002	0.02	0.009
88.45	0.005	0.02	0.009
88.49	0.008	0.02	0.009
88.52	0.011	0.02	0.009
88.55	0.013	0.02	0.009
88.59	0.015	0.02	0.009
88.62	0.015	0.02	0.009
88.65	0.014	0.02	0.009
88.69	0.013	0.02	0.009
88.72	0.010	0.02	0.009
88.75	0.007	0.02	0.009
88.79	0.004	0.02	0.009
88.82	0.000	0.02	0.009
88.85	-0.003	0.02	0.009
88.89	-0.007	0.02	0.009
88.92	-0.009	0.02	0.009
88.95	-0.011	0.02	0.009
88.99	-0.013	0.02	0.009
89.02	-0.013	0.02	0.009
89.05	-0.013	0.02	0.009
89.09	-0.012	0.02	0.009
89.12	-0.009	0.02	0.009
89.15	-0.007	0.02	0.009
89.18	-0.003	0.02	0.009
89.22	0.000	0.02	0.009
89.25	0.004	0.02	0.009
89.28	0.007	0.02	0.009
89.32	0.010	0.02	0.009
89.35	0.013	0.02	0.009
89.38	0.015	0.02	0.009
89.42	0.016	0.02	0.009
89.45	0.015	0.02	0.009
89.48	0.014	0.02	0.009
89.52	0.012	0.02	0.009
89.55	0.009	0.02	0.009
89.58	0.006	0.02	0.009
89.62	0.002	0.02	0.009
89.65	-0.001	0.02	0.009
89.68	-0.005	0.02	0.009
89.72	-0.008	0.02	0.009
89.75	-0.011	0.02	0.009
89.78	-0.012	0.02	0.009
89.82	-0.013	0.02	0.009
89.85	-0.013	0.02	0.009
89.88	-0.013	0.02	0.009
89.92	-0.011	0.02	0.009
89.95	-0.009	0.02	0.009
89.98	-0.005	0.02	0.009
90.02	-0.002	0.02	0.009
90.05	0.002	0.02	0.009
90.08	0.005	0.02	0.009
90.12	0.008	0.02	0.009
90.15	0.011	0.02	0.009
90.18	0.013	0.02	0.009
90.22	0.015	0.02	0.009
90.25	0.015	0.02	0.009
90.28	0.015	0.02	0.009
90.32	0.013	0.02	0.009
90.35	0.011	0.02	0.009
90.38	0.008	0.02	0.009
90.41	0.005	0.02	0.009
90.45	0.001	0.02	0.009
90.48	-0.003	0.02	0.009
90.51	-0.006	0.02	0.009
90.55	-0.009	0.02	0.009
90.58	-0.011	0.02	0.009
90.61	-0.011	0.02	0.009
90.65	-0.012	0.02	0.009
90.68	-0.012	0.02	0.009
90.71	-0.011	0.02	0.009
90.75	-0.009	0.02	0.009
90.78	-0.007	0.02	0.009
90.81	-0.003	0.02	0.009
90.85	0.000	0.02	0.009
90.88	0.004	0.02	0.009
90.91	0.007	0.02	0.009
90.95	0.010	0.02	0.009
90.98	0.012	0.02	0.009
91.01	0.013	0.02	0.009
91.05	0.014	0.02	0.009
91.08	0.014	0.02	0.009
91.11	0.013	0.02	0.009
91.15	0.012	0.02	0.009
91.18	0.009	0.02	0.009
91.21	0.006	0.02	0.009
91.25	0.003	0.02	0.009
91.28	-0.001	0.02	0.009
91.31	-0.004	0.02	0.009
91.35	-0.007	0.02	0.009
91.38	-0.009	0.02	0.009
91.41	-0.011	0.02	0.009
91.45	-0.012	0.02	0.009
91.48	-0.012	0.02	0.009
91.51	-0.012	0.02	0.009
91.55	-0.011	0.02	0.009
91.58	-0.009	0.02	0.009
91.61	-0.005	0.02	0.009
91.64	-0.003	0.02	0.009
91.68	0.001	0.02	0.009
91.71	0.004	0.02	0.009
91.74	0.008	0.02	0.009
91.78	0.010	0.02	0.009
91.81	0.012	0.02	0.009
91.84	0.013	0.02	0.009
91.88	0.014	0.02	0.009
91.91	0.013	0.02	0.009
91.94	0.012	0.02	0.009
91.98	0.009	0.02	0.009
92.01	0.008	0.02	0.009
92.04	0.004	0.02	0.009
92.08	0.001	0.02	0.009
92.11	-0.003	0.02	0.009
92.14	-0.005	0.02	0.009
92.18	-0.008	0.02	0.009
92.21	-0.011	0.02	0.009
92.24	-0.011	0.02	0.009
92.28	-0.012	0.02	0.009
92.31	-0.012	0.02	0.009
92.34	-0.011	0.02	0.009
92.38	-0.009	0.02	0.009
92.41	-0.007	0.02	0.009
92.44	-0.004	0.02	0.009
92.48	-0.001	0.02	0.009
92.51	0.003	0.02	0.009
92.54	0.006	0.02	0.009
92.58	0.009	0.02	0.009
92.61	0.011	0.02	0.009
92.64	0.013	0.02	0.009
92.68	0.014	0.02	0.009
92.71	0.014	0.02	0.009
92.74	0.013	0.02	0.009
92.77	0.012	0.02	0.009
92.81	0.009	0.02	0.009
92.84	0.006	0.02	0.009
92.87	0.003	0.02	0.009
92.91	-0.001	0.02	0.009
92.94	-0.004	0.02	0.009
92.97	-0.006	0.02	0.009
93.01	-0.009	0.02	0.009
93.04	-0.011	0.02	0.009
93.07	-0.011	0.02	0.009
93.11	-0.011	0.02	0.009
93.14	-0.011	0.02	0.009
93.17	-0.010	0.02	0.009
93.21	-0.008	0.02	0.009
93.24	-0.005	0.02	0.009
93.27	-0.002	0.02	0.009
93.31	0.002	0.02	0.009
93.34	0.005	0.02	0.009
93.37	0.008	0.02	0.009
93.41	0.011	0.02	0.009
93.44	0.012	0.02	0.009
93.47	0.014	0.02	0.009
93.51	0.015	0.02	0.009
93.54	0.015	0.02	0.009
93.57	0.013	0.02	0.009
93.61	0.011	0.02	0.009
93.64	0.008	0.02	0.009
93.67	0.005	0.02	0.009
93.71	0.002	0.02	0.009
93.74	-0.001	0.02	0.009
93.77	-0.005	0.02	0.009
93.81	-0.007	0.02	0.009
93.84	-0.009	0.02	0.009
93.87	-0.011	0.02	0.009
93.91	-0.011	0.02	0.009
93.94	-0.011	0.02	0.009
93.97	-0.011	0.02	0.009
94.01	-0.009	0.02	0.009
94.04	-0.007	0.02	0.009
94.07	-0.004	0.02	0.009
94.10	0.000	0.02	0.009
94.14	0.003	0.02	0.009
94.17	0.006	0.02	0.009
94.20	0.008	0.02	0.009
94.24	0.011	0.02	0.009
94.27	0.013	0.02	0.009
94.30	0.014	0.02	0.009
94.34	0.014	0.02	0.009
94.37	0.013	0.02	0.009
94.40	0.012	0.02	0.009
94.44	0.009	0.02	0.009
94.47	0.006	0.02	0.009
94.50	0.003	0.02	0.009
94.54	-0.001	0.02	0.009
94.57	-0.003	0.02	0.009
94.60	-0.006	0.02	0.009
94.64	-0.009	0.02	0.009
94.67	-0.011	0.02	0.009
94.70	-0.011	0.02	0.009
94.74	-0.011	0.02	0.009
94.77	-0.011	0.02	0.009
94.80	-0.010	0.02	0.009
94.84	-0.008	0.02	0.009
94.87	-0.006	0.02	0.009
94.90	-0.003	0.02	0.009
94.94	0.001	0.02	0.009
94.97	0.004	0.02	0.009
95.00	0.007	0.02	0.009
95.04	0.010	0.02	0.009
95.07	0.011	0.02	0.009
95.10	0.013	0.02	0.009
95.14	0.013	0.02	0.009
95.17	0.013	0.02	0.009
95.20	0.012	0.02	0.009
95.23	0.010	0.02	0.009
95.27	0.008	0.02	0.009
95.30	0.005	0.02	0.009
95.33	0.002	0.02	0.009
95.37	-0.002	0.02	0.009
95.40	-0.005	0.02	0.009
95.43	-0.007	0.02	0.009
95.47	-0.009	0.02	0.009
95.50	-0.011	0.02	0.009
95.53	-0.011	0.02	0.009
95.57	-0.011	0.02	0.009
95.60	-0.011	0.02	0.009
95.63	-0.009	0.02	0.009
95.67	-0.007	0.02	0.009
95.70	-0.004	0.02	0.009
95.73	-0.001	0.02	0.009
95.77	0.002	0.02	0.009
95.80	0.006	0.02	0.009
95.83	0.009	0.02	0.009
95.87	0.011	0.02	0.009
95.90	0.013	0.02	0.009
95.93	0.014	0.02	0.009
95.97	0.014	0.02	0.009
96.00	0.013	0.02	0.009
96.03	0.012	0.02	0.009
96.07	0.009	0.02	0.009
96.10	0.006	0.02	0.009
96.13	0.004	0.02	0.009
96.17	0.000	0.02	0.009
96.20	-0.003	0.02	0.009
96.23	-0.006	0.02	0.009
96.27	-0.009	0.02	0.009
96.30	-0.010	0.02	0.009
96.33	-0.011	0.02	0.009
96.37	-0.011	0.02	0.009
96.40	-0.011	0.02	0.009
96.43	-0.010	0.02	0.009
96.46	-0.008	0.02	0.009
96.50	-0.006	0.02	0.009
96.53	-0.003	0.02	0.009
96.56	0.000	0.02	0.009
96.60	0.004	0.02	0.009
96.63	0.006	0.02	0.009
96.66	0.009	0.02	0.009
96.70	0.011	0.02	0.009
96.73	0.013	0.02	0.009
96.76	0.013	0.02	0.009
96.80	0.013	0.02	0.009
96.83	0.012	0.02	0.009
96.86	0.010	0.02	0.009
96.90	0.008	0.02	0.009
96.93	0.005	0.02	0.009
96.96	0.002	0.02	0.009
97.00	-0.001	0.02	0.009
97.03	-0.004	0.02	0.009
97.06	-0.007	0.02	0.009
97.10	-0.009	0.02	0.009
97.13	-0.010	0.02	0.009
97.16	-0.011	0.02	0.009
97.20	-0.011	0.02	0.009
97.23	-0.011	0.02	0.009
97.26	-0.009	0.02	0.009
97.30	-0.007	0.02	0.009
97.33	-0.004	0.02	0.009
97.36	-0.001	0.02	0.009
97.40	0.002	0.02	0.009
97.43	0.005	0.02	0.009
97.46	0.008	0.02	0.009
97.50	0.010	0.02	0.009
97.53	0.011	0.02	0.009
97.56	0.012	0.02	0.009
97.60	0.013	0.02	0.009
97.63	0.012	0.02	0.009
97.66	0.011	0.02	0.009
97.69	0.009	0.02	0.009
97.73	0.006	0.02	0.009
97.76	0.004	0.02	0.009
97.79	0.000	0.02	0.009
97.83	-0.003	0.02	0.009
97.86	-0.005	0.02	0.009
97.89	-0.008	0.02	0.009
97.93	-0.009	0.02	0.009
97.96	-0.011	0.02	0.009
97.99	-0.011	0.02	0.009
98.03	-0.011	0.02	0.009
98.06	-0.009	0.02	0.009
98.09	-0.008	0.02	0.009
98.13	-0.005	0.02	0.009
98.16	-0.002	0.02	0.009
98.19	0.000	0.02	0.009
98.23	0.004	0.02	0.009
98.26	0.007	0.02	0.009
98.29	0.009	0.02	0.009
98.33	0.011	0.02	0.009
98.36	0.013	0.02	0.009
98.39	0.013	0.02	0.009
98.43	0.013	0.02	0.009
98.46	0.012	0.02	0.009
98.49	0.011	0.02	0.009
98.53	0.009	0.02	0.009
98.56	0.006	0.02	0.009
98.59	0.002	0.02	0.009
98.63	-0.001	0.02	0.009
98.66	-0.003	0.02	0.009
98.69	-0.007	0.02	0.009
98.73	-0.008	0.02	0.009
98.76	-0.010	0.02	0.009
98.79	-0.011	0.02	0.009
98.82	-0.011	0.02	0.009
98.86	-0.011	0.02	0.009
98.89	-0.009	0.02	0.009
98.92	-0.007	0.02	0.009
98.96	-0.004	0.02	0.009
98.99	-0.002	0.02	0.009
99.02	0.002	0.02	0.009
99.06	0.004	0.02	0.009
99.09	0.007	0.02	0.009
99.12	0.009	0.02	0.009
99.16	0.011	0.02	0.009
99.19	0.012	0.02	0.009
99.22	0.012	0.02	0.009
99.26	0.011	0.02	0.009
99.29	0.010	0.02	0.009
99.32	0.009	0.02	0.009
99.36	0.006	0.02	0.009
99.39	0.003	0.02	0.009
99.42	0.000	0.02	0.009
99.46	-0.003	0.02	0.009
99.49	-0.005	0.02	0.009
99.52	-0.008	0.02	0.009
99.56	-0.009	0.02	0.009
99.59	-0.011	0.02	0.009
99.62	-0.011	0.02	0.009
99.66	-0.011	0.02	0.009
99.69	-0.010	0.02	0.009
99.72	-0.009	0.02	0.009
99.76	-0.006	0.02	0.009
99.79	-0.003	0.02	0.009
99.82	0.000	0.02	0.009
99.86	0.002	0.02	0.009
99.89	0.005	0.02	0.009
99.92	0.007	0.02	0.009
99.96	0.010	0.02	0.009
99.99	0.011	0.02	0.009
100.02	0.011	0.02	0.009
100.05	0.011	0.02	0.009
100.09	0.010	0.02	0.009
100.12	0.009	0.02	0.009
100.15	0.007	0.02	0.009
100.19	0.004	0.02	0.009
100.22	0.001	0.02	0.009
100.25	-0.001	0.02	0.009
100.29	-0.005	0.02	0.009
100.32	-0.007	0.02	0.009
100.35	-0.009	0.02	0.009
100.39	-0.010	0.02	0.009
100.42	-0.011	0.02	0.009
100.45	-0.011	0.02	0.009
100.49	-0.011	0.02	0.009
100.52	-0.009	0.02	0.009
100.55	-0.007	0.02	0.009
100.59	-0.005	0.02	0.009
100.62	-0.002	0.02	0.009
100.65	0.001	0.02	0.009
100.69	0.004	0.02	0.009
100.72	0.007	0.02	0.009
100.75	0.009	0.02	0.009
100.79	0.010	0.02	0.009
100.82	0.011	0.02	0.009
100.85	0.012	0.02	0.009
100.89	0.011	0.02	0.009
100.92	0.010	0.02	0.009
100.95	0.008	0.02	0.009
100.99	0.006	0.02	0.009
101.02	0.003	0.02	0.009
101.05	0.000	0.02	0.009
101.09	-0.003	0.02	0.009
101.12	-0.005	0.02	0.009
101.15	-0.007	0.02	0.009
101.18	-0.009	0.02	0.009
101.22	-0.010	0.02	0.009
101.25	-0.011	0.02	0.009
101.28	-0.011	0.02	0.009
101.32	-0.009	0.02	0.009
101.35	-0.008	0.02	0.009
101.38	-0.006	0.02	0.009
101.42	-0.003	0.02	0.009
101.45	0.000	0.02	0.009
101.48	0.002	0.02	0.009
101.52	0.006	0.02	0.009
101.55	0.008	0.02	0.009
101.58	0.010	0.02	0.009
101.62	0.012	0.02	0.009
101.65	0.012	0.02	0.009
101.68	0.012	0.02	0.009
101.72	0.012	0.02	0.009
101.75	0.010	0.02	0.009
101.78	0.008	0.02	0.009
101.82	0.006	0.02	0.009
101.85	0.003	0.02	0.009
101.88	0.000	0.02	0.009
101.92	-0.003	0.02	0.009
101.95	-0.005	0.02	0.009
101.98	-0.008	0.02	0.009
102.02	-0.009	0.02	0.009
102.05	-0.010	0.02	0.009
102.08	-0.010	0.02	0.009
102.12	-0.010	0.02	0.009
102.15	-0.009	0.02	0.009
102.18	-0.007	0.02	0.009
102.22	-0.004	0.02	0.009
102.25	-0.002	0.02	0.009
102.28	0.001	0.02	0.009
102.32	0.004	0.02	0.009
102.35	0.006	0.02	0.009
102.38	0.009	0.02	0.009
102.41	0.010	0.02	0.009
102.45	0.011	0.02	0.009
102.48	0.011	0.02	0.009
102.51	0.011	0.02	0.009
102.55	0.010	0.02	0.009
102.58	0.009	0.02	0.009
102.61	0.006	0.02	0.009
102.65	0.004	0.02	0.009
102.68	0.001	0.02	0.009
102.71	-0.002	0.02	0.009
102.75	-0.005	0.02	0.009
102.78	-0.007	0.02	0.009
102.81	-0.009	0.02	0.009
102.85	-0.010	0.02	0.009
102.88	-0.011	0.02	0.009
102.91	-0.011	0.02	0.009
102.95	-0.009	0.02	0.009
102.98	-0.008	0.02	0.009
103.01	-0.007	0.02	0.009
103.05	-0.004	0.02	0.009
103.08	-0.001	0.02	0.009
103.11	0.002	0.02	0.009
103.15	0.005	0.02	0.009
103.18	0.007	0.02	0.009
103.21	0.009	0.02	0.009
103.25	0.010	0.02	0.009
103.28	0.011	0.02	0.009
103.31	0.011	0.02	0.009
103.35	0.010	0.02	0.009
103.38	0.009	0.02	0.009
103.41	0.007	0.02	0.009
103.45	0.005	0.02	0.009
103.48	0.002	0.02	0.009
103.51	-0.001	0.02	0.009
103.55	-0.004	0.02	0.009
103.58	-0.006	0.02	0.009
103.61	-0.009	0.02	0.009
103.64	-0.009	0.02	0.009
103.68	-0.011	0.02	0.009
103.71	-0.011	0.02	0.009
103.74	-0.010	0.02	0.009
103.78	-0.009	0.02	0.009
103.81	-0.007	0.02	0.009
103.84	-0.005	0.02	0.009
103.88	-0.002	0.02	0.009
103.91	0.001	0.02	0.009
103.94	0.004	0.02	0.009
103.98	0.006	0.02	0.009
104.01	0.009	0.02	0.009
104.04	0.010	0.02	0.009
104.08	0.011	0.02	0.009
104.11	0.011	0.02	0.009
104.14	0.011	0.02	0.009
104.18	0.010	0.02	0.009
104.21	0.008	0.02	0.009
104.24	0.006	0.02	0.009
104.28	0.004	0.02	0.009
104.31	0.002	0.02	0.009
104.34	-0.002	0.02	0.009
104.38	-0.004	0.02	0.009
104.41	-0.007	0.02	0.009
104.44	-0.009	0.02	0.009
104.48	-0.010	0.02	0.009
104.51	-0.010	0.02	0.009
104.54	-0.010	0.02	0.009
104.58	-0.009	0.02	0.009
104.61	-0.008	0.02	0.009
104.64	-0.006	0.02	0.009
104.68	-0.003	0.02	0.009
104.71	-0.001	0.02	0.009
104.74	0.002	0.02	0.009
104.78	0.004	0.02	0.009
104.81	0.006	0.02	0.009
104.84	0.009	0.02	0.009
104.87	0.010	0.02	0.009
104.91	0.011	0.02	0.009
104.94	0.011	0.02	0.009
104.97	0.010	0.02	0.009
105.01	0.009	0.02	0.009
105.04	0.007	0.02	0.009
105.07	0.005	0.02	0.009
105.11	0.002	0.02	0.009
105.14	-0.001	0.02	0.009
105.17	-0.003	0.02	0.009
105.21	-0.005	0.02	0.009
105.24	-0.008	0.02	0.009
105.27	-0.009	0.02	0.009
105.31	-0.010	0.02	0.009
105.34	-0.011	0.02	0.009
105.37	-0.010	0.02	0.009
105.41	-0.009	0.02	0.009
105.44	-0.007	0.02	0.009
105.47	-0.005	0.02	0.009
105.51	-0.002	0.02	0.009
105.54	0.001	0.02	0.009
105.57	0.003	0.02	0.009
105.61	0.006	0.02	0.009
105.64	0.008	0.02	0.009
105.67	0.010	0.02	0.009
105.71	0.011	0.02	0.009
105.74	0.011	0.02	0.009
105.77	0.011	0.02	0.009
105.81	0.010	0.02	0.009
105.84	0.008	0.02	0.009
105.87	0.006	0.02	0.009
105.91	0.004	0.02	0.009
105.94	0.001	0.02	0.009
105.97	-0.001	0.02	0.009
106.00	-0.004	0.02	0.009
106.04	-0.007	0.02	0.009
106.07	-0.008	0.02	0.009
106.10	-0.009	0.02	0.009
106.14	-0.010	0.02	0.009
106.17	-0.010	0.02	0.009
106.20	-0.009	0.02	0.009
106.24	-0.007	0.02	0.009
106.27	-0.005	0.02	0.009
106.30	-0.003	0.02	0.009
106.34	0.000	0.02	0.009
106.37	0.002	0.02	0.009
106.40	0.005	0.02	0.009
106.44	0.006	0.02	0.009
106.47	0.009	0.02	0.009
106.50	0.010	0.02	0.009
106.54	0.011	0.02	0.009
106.57	0.011	0.02	0.009
106.60	0.010	0.02	0.009
106.64	0.009	0.02	0.009
106.67	0.007	0.02	0.009
106.70	0.005	0.02	0.009
106.74	0.002	0.02	0.009
106.77	0.000	0.02	0.009
106.80	-0.003	0.02	0.009
106.84	-0.005	0.02	0.009
106.87	-0.007	0.02	0.009
106.90	-0.009	0.02	0.009
106.94	-0.009	0.02	0.009
106.97	-0.009	0.02	0.009
107.00	-0.009	0.02	0.009
107.04	-0.008	0.02	0.009
107.07	-0.006	0.02	0.009
107.10	-0.004	0.02	0.009
107.14	-0.002	0.02	0.009
107.17	0.001	0.02	0.009
107.20	0.004	0.02	0.009
107.23	0.006	0.02	0.009
107.27	0.008	0.02	0.009
107.30	0.010	0.02	0.009
107.33	0.011	0.02	0.009
107.37	0.011	0.02	0.009
107.40	0.011	0.02	0.009
107.43	0.010	0.02	0.009
107.47	0.008	0.02	0.009
107.50	0.006	0.02	0.009
107.53	0.004	0.02	0.009
107.57	0.002	0.02	0.009
107.60	-0.001	0.02	0.009
107.63	-0.004	0.02	0.009
107.67	-0.006	0.02	0.009
107.70	-0.008	0.02	0.009
107.73	-0.009	0.02	0.009
107.77	-0.009	0.02	0.009
107.80	-0.009	0.02	0.009
107.83	-0.009	0.02	0.009
107.87	-0.007	0.02	0.009
107.90	-0.005	0.02	0.009
107.93	-0.002	0.02	0.009
107.97	0.000	0.02	0.009
108.00	0.003	0.02	0.009
108.03	0.005	0.02	0.009
108.07	0.007	0.02	0.009
108.10	0.009	0.02	0.009
108.13	0.010	0.02	0.009
108.17	0.011	0.02	0.009
108.20	0.011	0.02	0.009
108.23	0.010	0.02	0.009
108.27	0.009	0.02	0.009
108.30	0.007	0.02	0.009
108.33	0.005	0.02	0.009
108.36	0.002	0.02	0.009
108.40	0.000	0.02	0.009
108.43	-0.003	0.02	0.009
108.46	-0.005	0.02	0.009
108.50	-0.007	0.02	0.009
108.53	-0.009	0.02	0.009
108.56	-0.009	0.02	0.009
108.60	-0.009	0.02	0.009
108.63	-0.009	0.02	0.009
108.66	-0.008	0.02	0.009
108.70	-0.007	0.02	0.009
108.73	-0.005	0.02	0.009
108.76	-0.003	0.02	0.009
108.80	0.000	0.02	0.009
108.83	0.003	0.02	0.009
108.86	0.005	0.02	0.009
108.90	0.006	0.02	0.009
108.93	0.009	0.02	0.009
108.96	0.010	0.02	0.009
109.00	0.011	0.02	0.009
109.03	0.010	0.02	0.009
109.06	0.009	0.02	0.009
109.10	0.008	0.02	0.009
109.13	0.006	0.02	0.009
109.16	0.004	0.02	0.009
109.20	0.002	0.02	0.009
109.23	-0.001	0.02	0.009
109.26	-0.004	0.02	0.009
109.30	-0.006	0.02	0.009
109.33	-0.008	0.02	0.009
109.36	-0.009	0.02	0.009
109.40	-0.009	0.02	0.009
109.43	-0.009	0.02	0.009
109.46	-0.009	0.02	0.009
109.50	-0.007	0.02	0.009
109.53	-0.005	0.02	0.009
109.56	-0.003	0.02	0.009
109.59	0.000	0.02	0.009
109.63	0.002	0.02	0.009
109.66	0.005	0.02	0.009
109.69	0.007	0.02	0.009
109.73	0.008	0.02	0.009
109.76	0.010	0.02	0.009
109.79	0.010	0.02	0.009
109.83	0.011	0.02	0.009
109.86	0.010	0.02	0.009
109.89	0.009	0.02	0.009
109.93	0.007	0.02	0.009
109.96	0.005	0.02	0.009
109.99	0.003	0.02	0.009
110.03	0.000	0.02	0.009
110.06	-0.002	0.02	0.009
110.09	-0.005	0.02	0.009
110.13	-0.007	0.02	0.009
110.16	-0.008	0.02	0.009
110.19	-0.009	0.02	0.009
110.23	-0.009	0.02	0.009
110.26	-0.009	0.02	0.009
110.29	-0.008	0.02	0.009
110.33	-0.006	0.02	0.009
110.36	-0.005	0.02	0.009
110.39	-0.002	0.02	0.009
110.43	0.000	0.02	0.009
110.46	0.003	0.02	0.009
110.49	0.005	0.02	0.009
110.53	0.007	0.02	0.009
110.56	0.008	0.02	0.009
110.59	0.010	0.02	0.009
110.63	0.010	0.02	0.009
110.66	0.010	0.02	0.009
110.69	0.010	0.02	0.009
110.73	0.008	0.02	0.009
110.76	0.006	0.02	0.009
110.79	0.004	0.02	0.009
110.82	0.002	0.02	0.009
110.86	-0.001	0.02	0.009
110.89	-0.003	0.02	0.009
110.92	-0.005	0.02	0.009
110.96	-0.007	0.02	0.009
110.99	-0.008	0.02	0.009
111.02	-0.009	0.02	0.009
111.06	-0.009	0.02	0.009
111.09	-0.008	0.02	0.009
111.12	-0.007	0.02	0.009
111.16	-0.005	0.02	0.009
111.19	-0.003	0.02	0.009
111.22	0.000	0.02	0.009
111.26	0.002	0.02	0.009
111.29	0.005	0.02	0.009
111.32	0.006	0.02	0.009
111.36	0.008	0.02	0.009
111.39	0.009	0.02	0.009
